HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
0:00	25.8	26.0	448.00	50	0	1.00	0
0:30	25.7	25.6	448.96	50	0	1.00	0
1:00	25.5	25.2	457.92	50	0	1.00	0
1:30	25.4	25.0	454.72	50	0	1.00	0
2:00	25.3	24.8	451.84	50	0	1.00	0
2:30	25.0	24.5	452.80	50	0	1.00	0
3:00	24.8	24.3	456.96	50	0	1.00	0
3:30	24.6	24.2	448.96	50	0	1.00	0
4:00	24.5	24.0	458.88	50	0	1.00	0
4:30	24.3	23.8	464.00	50	0	1.00	0
5:00	23.9	23.6	451.84	50	0	1.00	0
5:30	23.7	23.5	452.80	50	0	1.00	0
6:00	23.6	23.3	456.96	50	0	1.00	0
6:30	23.6	23.2	452.80	50	0	4.00	0
7:00	23.5	23.0	452.80	50	0	379.84	0
7:30	23.5	23.2	456.00	50	0	1832.96	0
8:00	23.4	23.5	472.00	50	0	4026.88	0
8:30	23.4	23.7	456.00	50	0	8847.36	0
9:00	23.8	24.3	456.00	50	0	15022.08	0
9:30	24.0	25.3	446.72	50	0	25374.72	0
10:00	24.5	26.2	457.92	50	0	25374.72	0
10:30	25.6	27.0	464.00	50	0	43008.00	0
11:00	25.7	27.5	464.00	50	0	62054.40	0
11:30	25.7	27.8	457.92	50	3	36208.64	0
12:00	25.8	28.2	459.84	50	2	49479.68	0
12:30	25.8	28.5	454.72	50	3	76226.56	0
13:00	25.8	28.8	453.76	50	4	68853.76	0
13:30	25.9	29.0	456.00	50	4	55336.96	0
14:00	25.8	29.2	459.84	50	2	37457.92	0
14:30	25.9	29.5	458.88	50	3	80855.04	0
15:00	25.9	29.8	450.88	50	3	80855.04	0
15:30	25.9	30.0	452.80	50	3	56401.92	0
16:00	25.9	29.9	445.76	50	4	51240.96	0
16:30	26.0	29.8	451.84	50	5	51240.96	0
17:00	26.0	29.6	458.88	50	3	51240.96	0
17:30	26.0	29.3	443.84	49	6	35840.00	0
18:00	26.0	29.0	448.96	49	3	12247.04	0
18:30	26.1	28.8	443.84	49	6	8570.88	0
19:00	26.1	28.5	442.88	49	2	5995.52	0
19:30	26.1	28.2	454.72	49	4	5995.52	0
20:00	26.1	27.8	441.92	49	3	5995.52	0
20:30	26.0	27.3	438.72	49	3	2051.84	0
21:00	26.0	26.9	442.88	49	5	1003.52	0
21:30	26.0	26.3	451.84	49	0	58.00	0
22:00	26.0	26.0	456.96	49	0	1.00	0
22:30	26.0	25.8	456.00	49	0	1.00	0
23:00	25.9	25.7	456.00	49	0	1.00	0
23:30	25.7	25.5	443.84	49	0	1.00	0
