HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
3:00	25.4	25.7	456.96	33	0	1.00	0
3:30	25.3	26.4	448.96	31	0	1.00	0
4:00	25.1	27.6	458.88	25	0	1.00	0
4:30	25.0	27.7	464.00	40	0	1.00	0
5:00	23.9	27.8	451.84	40	0	1.00	0
5:30	23.7	27.9	452.80	40	0	1.00	0
6:00	23.6	27.1	456.96	40	0	1.00	0
6:30	23.6	27.1	452.80	40	0	4.00	0
7:00	23.5	27.1	452.80	40	0	379.84	0
7:30	23.5	27.1	456.00	40	0	1832.96	0
8:00	23.4	27.1	472.00	40	0	4026.88	0
8:30	23.4	27.1	456.00	40	0	8847.36	0
9:00	23.8	27.1	456.00	40	0	15022.08	0
9:30	24.0	27.1	446.72	40	0	25374.72	0
10:00	24.5	27.1	457.92	40	0	25374.72	0
10:30	25.6	27.0	464.00	40	0	43008.00	0
11:00	25.7	27.5	464.00	40	0	62054.40	0
11:30	25.7	27.8	457.92	40	3	36208.64	0
12:00	25.8	28.2	459.84	40	2	49479.68	0
12:30	25.8	28.5	454.72	40	3	76226.56	0
13:00	25.8	28.8	453.76	40	4	68853.76	0
13:30	25.9	29.0	456.00	40	4	55336.96	0
14:00	25.8	29.2	459.84	40	2	37457.92	0
14:30	25.9	29.5	458.88	40	3	80855.04	0
15:00	25.9	29.8	450.88	40	3	80855.04	0
15:30	25.9	30.0	452.80	40	3	56401.92	0
16:00	25.9	29.9	445.76	40	4	51240.96	0
16:30	26.0	29.8	451.84	40	5	51240.96	0
17:00	26.0	29.6	458.88	40	3	51240.96	0
17:30	26.0	29.3	443.84	40	6	35840.00	0
18:00	26.0	29.0	448.96	40	3	12247.04	0
18:30	26.1	28.8	443.84	40	6	8570.88	0
19:00	26.1	28.5	442.88	40	2	5995.52	0
19:30	26.1	28.2	454.72	40	4	5995.52	0
20:00	26.1	27.8	441.92	40	3	5995.52	0
20:30	26.0	27.3	438.72	40	3	2051.84	0
21:00	26.0	26.9	442.88	40	5	1003.52	0
21:30	26.0	26.3	451.84	40	0	58.00	0
22:00	26.0	26.0	456.96	40	0	1.00	0
22:30	26.0	25.8	456.00	40	0	1.00	0
23:00	25.9	25.7	456.00	40	0	1.00	0
23:30	25.7	25.5	443.84	40	0	1.00	0
