HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
0:00	22.1	10.1	448.00	50	0	1.00	0
0:30	21.8	9.8	448.96	50	0	1.00	0
1:00	22.0	10.0	457.92	50	0	1.00	0
1:30	21.9	9.9	454.72	50	0	1.00	0
2:00	21.9	9.9	451.84	50	0	1.00	0
2:30	21.8	9.8	452.80	50	0	1.00	0
3:00	21.6	9.6	456.96	50	0	1.00	0
3:30	21.6	9.6	448.96	50	0	1.00	0
4:00	21.5	9.5	458.88	50	0	1.00	0
4:30	21.3	9.3	464.00	50	0	1.00	0
5:00	21.1	9.1	451.84	50	0	1.00	0
5:30	20.9	8.9	452.80	50	0	1.00	0
6:00	20.8	8.8	456.96	50	0	1.00	0
6:30	20.6	8.6	452.80	50	0	4.00	0
7:00	20.5	8.5	452.80	50	0	379.84	0
7:30	20.3	8.3	456.00	50	0	1832.96	0
8:00	20.0	8.0	472.00	50	0	4026.88	0
8:30	20.1	7.9	456.00	50	0	8847.36	0
9:00	20.4	8.1	456.00	50	0	15022.08	0
9:30	20.6	8.8	446.72	50	0	25374.72	0
10:00	21.0	10.5	457.92	50	0	25374.72	0
10:30	21.6	11.6	464.00	50	0	43008.00	0
11:00	21.8	12.8	464.00	50	0	62054.40	0
11:30	22.2	14.5	457.92	50	3	36208.64	0
12:00	22.4	15.3	459.84	50	2	49479.68	0
12:30	22.6	16.0	454.72	50	3	76226.56	0
13:00	22.5	15.9	453.76	50	4	68853.76	0
13:30	22.6	15.9	456.00	50	4	55336.96	0
14:00	22.6	16.1	459.84	50	2	37457.92	0
14:30	22.4	16.0	458.88	50	3	80855.04	0
15:00	22.5	15.9	450.88	50	3	80855.04	0
15:30	22.5	16.0	452.80	50	3	56401.92	0
16:00	22.3	15.8	445.76	50	4	51240.96	0
16:30	22.4	15.5	500.84	50	5	51240.96	0
17:00	22.7	15.4	650.88	50	3	51240.96	0
17:30	23.0	15.2	738.84	49	6	35840.00	0
18:00	23.5	14.6	959.96	49	3	12247.04	0
18:30	23.4	13.3	984.84	49	6	8570.88	0
19:00	22.9	12.9	976.88	49	2	5995.52	0
19:30	22.5	12.5	969.88	49	4	5995.52	0
20:00	21.9	12.0	973.92	49	3	5995.52	0
20:30	21.3	11.7	967.72	49	3	2051.84	0
21:00	20.6	11.6	957.88	49	5	1003.52	0
21:30	20.1	11.4	974.84	49	0	58.00	0
22:00	19.5	11.4	964.96	49	0	1.00	0
22:30	19.8	11.3	1267.00	49	0	1.00	0
23:00	20.3	11.4	1467.00	49	0	1.00	0
23:30	20.6	11.4	1074.84	49	0	1.00	0
